calling connect
done
dist: 0.000000
dist: 0.248770
dist: 0.248770
dist: 0.245087
dist: 0.245087
dist: 0.248770
dist: 0.248770
dist: 0.248770
dist: 0.239562
dist: 0.239562
dist: 0.239562
dist: 0.239562
dist: 0.239562
dist: 0.246928
dist: 0.246928
dist: 0.257155
dist: 0.257155
dist: 0.257155
dist: 0.245087
dist: 0.245087
dist: 0.241404
dist: 0.241404
dist: 0.241404
dist: 0.237721
dist: 0.237721
dist: 0.245087
dist: 0.245087
dist: 0.245087
dist: 0.243245
dist: 0.243245
dist: 0.243245
dist: 0.243245
dist: 0.243245
dist: 0.234038
dist: 0.234038
dist: 0.251783
dist: 0.251783
dist: 0.251783
dist: 0.239562
dist: 0.239562
dist: 0.243245
dist: 0.243245
dist: 0.243245
dist: 0.243245
dist: 0.243245
dist: 0.243245
dist: 0.243245
dist: 0.243245
dist: 0.217464
dist: 0.217464
dist: 0.241404
dist: 0.241404
dist: 0.241404
dist: 0.243245
dist: 0.243245
dist: 0.239562
dist: 0.239562
dist: 0.239562
dist: 0.245087
dist: 0.245087
dist: 0.246928
dist: 0.246928
dist: 0.246928
dist: 0.243245
dist: 0.243245
dist: 0.239562
dist: 0.239562
dist: 0.239562
dist: 0.213781
dist: 0.213781
dist: 0.241404
dist: 0.241404
dist: 0.241404
dist: 0.243245
dist: 0.243245
dist: 0.245087
dist: 0.245087
dist: 0.245087
dist: 0.248770
dist: 0.248770
dist: 0.246928
dist: 0.246928
dist: 0.246928
dist: 0.245087
dist: 0.245087
dist: 0.243245
dist: 0.243245
dist: 0.243245
dist: 0.245087
dist: 0.245087
dist: 0.241404
dist: 0.241404
dist: 0.241404
dist: 0.245087
dist: 0.245087
dist: 0.246928
dist: 0.246928
dist: 0.246928
dist: 0.237721
dist: 0.237721
dist: 0.246928
dist: 0.246928
dist: 0.246928
dist: 0.245087
dist: 0.245087
dist: 0.239562
dist: 0.239562
dist: 0.239562
dist: 0.246928
dist: 0.246928
dist: 0.243245
dist: 0.243245
dist: 0.243245
dist: 0.241404
dist: 0.241404
dist: 0.246928
dist: 0.246928
dist: 0.246928
dist: 0.239562
dist: 0.239562
dist: 0.245087
dist: 0.245087
dist: 0.245087
dist: 0.243245
dist: 0.243245
dist: 0.245087
dist: 0.245087
dist: 0.245087
dist: 0.248770
dist: 0.248770
dist: 0.243245
dist: 0.243245
dist: 0.243245
dist: 0.248770
dist: 0.248770
dist: 0.246928
dist: 0.246928
dist: 0.246928
dist: 0.217464
dist: 0.217464
dist: 0.239562
dist: 0.239562
dist: 0.239562
dist: 0.241404
dist: 0.241404
dist: 0.246928
dist: 0.246928
dist: 0.246928
dist: 0.237721
dist: 0.237721
dist: 0.243245
dist: 0.243245
dist: 0.243245
dist: 0.243245
dist: 0.243245
dist: 0.245087
dist: 0.245087
dist: 0.245087
dist: 0.248770
dist: 0.248770
dist: 0.239562
dist: 0.239562
dist: 0.239562
dist: 0.246928
dist: 0.246928
dist: 0.245087
dist: 0.245087
dist: 0.245087
dist: 0.248770
dist: 0.248770
dist: 0.248770
dist: 0.248770
dist: 0.248770
dist: 0.243245
dist: 0.243245
dist: 0.245087
dist: 0.245087
dist: 0.245087
dist: 0.246928
dist: 0.246928
dist: 0.245087
dist: 0.245087
dist: 0.245087
dist: 0.243245
dist: 0.243245
dist: 0.245087
dist: 0.245087
dist: 0.245087
dist: 0.246928
dist: 0.246928
dist: 0.217464
dist: 0.217464
dist: 0.217464
dist: 0.241404
dist: 0.241404
dist: 0.245087
dist: 0.245087
dist: 0.245087
dist: 0.245087
dist: 0.245087
dist: 0.245087
dist: 0.245087
