calling connect
done
dist: 0.000000
dist: 0.143786
dist: 0.143786
dist: 0.149222
dist: 0.149222
dist: 0.149222
dist: 0.146116
dist: 0.146116
dist: 0.145339
dist: 0.145339
dist: 0.145339
dist: 0.138350
dist: 0.138350
dist: 0.148445
dist: 0.148445
dist: 0.148445
dist: 0.149998
dist: 0.149998
dist: 0.148445
dist: 0.148445
dist: 0.148445
dist: 0.149222
dist: 0.149222
dist: 0.149222
dist: 0.149222
dist: 0.149222
dist: 0.144563
dist: 0.144563
dist: 0.153216
dist: 0.153216
dist: 0.153216
dist: 0.140680
dist: 0.140680
dist: 0.143786
dist: 0.143786
dist: 0.143786
dist: 0.147669
dist: 0.147669
dist: 0.147669
dist: 0.147669
dist: 0.147669
dist: 0.137574
dist: 0.137574
dist: 0.149222
dist: 0.149222
dist: 0.149222
dist: 0.145339
dist: 0.145339
dist: 0.148445
dist: 0.148445
dist: 0.148445
dist: 0.146892
dist: 0.146892
dist: 0.133691
dist: 0.133691
dist: 0.133691
dist: 0.144563
dist: 0.144563
dist: 0.148445
dist: 0.148445
dist: 0.148445
dist: 0.146892
dist: 0.146892
dist: 0.156439
dist: 0.156439
dist: 0.156439
dist: 0.146116
dist: 0.146116
dist: 0.137574
dist: 0.137574
dist: 0.137574
dist: 0.149222
dist: 0.149222
dist: 0.146116
dist: 0.146116
dist: 0.146116
dist: 0.159662
dist: 0.159662
dist: 0.149222
dist: 0.149222
dist: 0.149222
dist: 0.143786
dist: 0.143786
dist: 0.147669
dist: 0.147669
dist: 0.147669
dist: 0.146116
dist: 0.146116
dist: 0.148445
dist: 0.148445
dist: 0.148445
dist: 0.149222
dist: 0.149222
dist: 0.147669
dist: 0.147669
dist: 0.147669
dist: 0.149222
dist: 0.149222
dist: 0.149222
dist: 0.149222
dist: 0.149222
dist: 0.147669
dist: 0.147669
dist: 0.149998
dist: 0.149998
dist: 0.149998
dist: 0.148445
dist: 0.148445
dist: 0.147669
dist: 0.147669
dist: 0.147669
dist: 0.148445
dist: 0.148445
dist: 0.147669
dist: 0.147669
dist: 0.147669
dist: 0.147669
dist: 0.147669
dist: 0.145339
dist: 0.145339
dist: 0.145339
dist: 0.146892
dist: 0.146892
dist: 0.143786
dist: 0.143786
dist: 0.143786
dist: 0.132914
dist: 0.132914
dist: 0.149998
dist: 0.149998
dist: 0.149998
dist: 0.143009
dist: 0.143009
dist: 0.146892
dist: 0.146892
dist: 0.146892
dist: 0.147669
dist: 0.147669
dist: 0.135244
dist: 0.135244
dist: 0.135244
dist: 0.159662
dist: 0.159662
dist: 0.148445
dist: 0.148445
dist: 0.148445
dist: 0.149222
dist: 0.149222
dist: 0.149222
dist: 0.149222
dist: 0.149222
dist: 0.144563
dist: 0.144563
dist: 0.147669
dist: 0.145339
dist: 0.149222
dist: 0.149222
dist: 0.153216
dist: 0.149222
dist: 0.147669
dist: 0.144563
dist: 0.149998
dist: 0.149998
dist: 0.146116
dist: 0.143786
dist: 0.146892
dist: 0.147669
dist: 0.149222
dist: 0.146892
dist: 0.146892
dist: 0.135244
dist: 0.143009
dist: 0.147669
dist: 0.156439
dist: 0.146892
dist: 0.146892
dist: 0.146892
dist: 0.147669
dist: 0.132914
dist: 0.147669
dist: 0.149222
dist: 0.147669
dist: 0.143786
dist: 0.146116
dist: 0.146892
dist: 0.146116
dist: 0.147669
dist: 0.136020
dist: 0.137574
dist: 0.149222
dist: 0.146892
dist: 0.149222
dist: 0.156439
dist: 0.146892
dist: 0.147669
dist: 0.146116
dist: 0.147669
dist: 0.156439
dist: 0.136020
dist: 0.147669
dist: 0.149222
dist: 0.146116
